date,to_type,sport,store,turnover,quantity,nb_transaction
8/1/2017 0:00,offline,FITNESS,1618,684,12,57
8/1/2017 0:00,offline,JOG/RUN,1614,440,20,22
8/1/2017 0:00,offline,PILATES,1614,250,50,5
8/1/2017 0:00,offline,PILATES,1618,1768,34,52
8/1/2017 0:00,online,DIVING,191,4947,97,51
8/1/2017 0:00,offline,SKATE/ROLLER,1618,1682,29,58
8/1/2017 0:00,offline,SURFING,1618,7938,98,81
8/1/2017 0:00,online,BADMINTON,191,6478,79,82
8/1/2017 0:00,offline,TRAIL,1618,1440,80,18
8/1/2017 0:00,offline,BOXING,1618,4489,67,67
8/1/2017 0:00,offline,FOOTBALL,1618,5148,52,99
8/1/2017 0:00,offline,BADMINTON,1614,4752,72,66
8/1/2017 0:00,offline,SWIMMING,1614,506,46,11
8/1/2017 0:00,offline,SURFING,1614,8428,86,98
8/1/2017 0:00,offline,JOG/RUN,1618,1953,63,31
8/1/2017 0:00,offline,CYCLING,1618,2356,76,31
8/1/2017 0:00,offline,BASKETBALL,1614,720,16,45
8/1/2017 0:00,online,YOGA,191,276,46,6
8/1/2017 0:00,offline,HIKING/TREKKING,1618,2508,66,38
8/1/2017 0:00,online,SWIMMING,191,2812,37,76
8/1/2017 0:00,offline,FOOTBALL,1614,1694,77,22
8/1/2017 0:00,offline,YOGA,1618,2548,28,91
8/1/2017 0:00,offline,DIVING,1618,1862,98,19
8/1/2017 0:00,offline,SWIMMING,1618,3016,58,52
8/1/2017 0:00,offline,DIVING,1614,246,82,3
8/1/2017 0:00,offline,CROSSTRAIN,1618,1134,63,18
8/1/2017 0:00,offline,KAYAK/SUP,1618,6106,86,71
8/1/2017 0:00,online,VOLLEYBALL,191,2592,36,72
8/1/2017 0:00,online,CYCLING,191,1776,24,74
8/1/2017 0:00,offline,TENNIS,1618,2870,82,35
8/1/2017 0:00,offline,BASKETBALL,1618,2408,56,43
8/1/2017 0:00,offline,SKATE/ROLLER,1614,7546,77,98
8/1/2017 0:00,offline,TENNIS,1614,1008,84,12
8/1/2017 0:00,offline,TABLE_TENNIS,1618,711,9,79
8/1/2017 0:00,online,CROSSTRAIN,191,1292,19,68
8/1/2017 0:00,offline,YOGA,1614,1736,56,31
8/1/2017 0:00,online,CLIMBING,191,1482,38,39
8/1/2017 0:00,offline,CLIMBING,1618,584,8,73
8/1/2017 0:00,offline,BADMINTON,1618,1728,32,54
8/1/2017 0:00,offline,CYCLING,1614,6545,77,85
8/1/2017 0:00,online,PILATES,191,50,5,10
8/1/2017 0:00,offline,RUGBY,1618,440,55,8
8/1/2017 0:00,online,HIKING/TREKKING,191,4312,88,49
